tid, volt
1565.682254,-0.000778
1566.186945,-0.000778
1566.693034,-0.000778
1567.199311,-0.000778
1567.706000,-0.000778
1568.211554,-0.000778
1568.717493,-0.000778
1569.222944,-0.000778
1569.727743,-0.000778
1570.233996,-0.000778
1570.739638,-0.000778
1571.245557,-0.000778
1571.749877,-0.000778
1572.254338,-0.000778
1572.760875,-0.000778
1573.266146,-0.000778
1573.771249,-0.000778
1574.277306,-0.000778
1574.780840,-0.000778
1575.285385,-0.000777
1575.791218,-0.000777
1576.297679,-0.000778
1576.804001,-0.000777
1577.310949,-0.000777
1577.816548,-0.000777
1578.322732,-0.000777
1578.829733,-0.000776
1579.335079,-0.000776
1579.839606,-0.000776
1580.344722,-0.000775
1580.851645,-0.000775
1581.357088,-0.000775
1581.863885,-0.000774
1582.370003,-0.000774
1582.875594,-0.000773
1583.382780,-0.000772
1583.888417,-0.000770
1584.394455,-0.000768
1584.899831,-0.000766
1585.404667,-0.000763
1585.911208,-0.000754
1586.416059,-0.000694
1586.922667,-0.000512
1587.428880,-0.000515
1587.935052,-0.000582
1588.441658,-0.000630
1588.946248,-0.000650
1589.450559,-0.000664
1589.956689,-0.000667
1590.462304,-0.000667
1590.968574,-0.000674
1591.473890,-0.000672
1591.980843,-0.000670
1592.486557,-0.000655
1592.991893,-0.000650
1593.498078,-0.000578
1594.003855,-0.000488
1594.510050,-0.000381
1595.015687,-0.000362
1595.520536,-0.000379
1596.026555,-0.000427
1596.531676,-0.000453
1597.036510,-0.000461
1597.543018,-0.000447
1598.049298,-0.000424
1598.554307,-0.000400
1599.059218,-0.000391
1599.565740,-0.000403
1600.072607,-0.000403
1600.577304,-0.000390
1601.083511,-0.000350
1601.589650,-0.000339
1602.095025,-0.000333
1602.599650,-0.000328
1603.107633,-0.000308
1603.614632,-0.000291
1604.120688,-0.000265
1604.626862,-0.000236
1605.132527,-0.000209
1605.637266,-0.000166
1606.143526,-0.000146
1606.649580,-0.000121
1607.155429,-0.000106
1607.662127,-9.643681E-5
1608.167486,-9.695920E-5
1608.673534,-8.371289E-5
1609.178826,-7.375018E-5
1609.684779,-8.785470E-5
1610.189864,-9.218306E-5
1610.694689,-8.673529E-5
1611.201752,-7.591437E-5
1611.707952,-5.307849E-5
1612.213199,-4.617549E-5
1612.719783,-4.005607E-5
1613.227574,-3.483218E-5
1613.733165,-7.854501E-6
1614.238650,4.272394E-6
1614.743955,9.347033E-6
1615.248919,2.244408E-5
1615.756386,3.833964E-5
1616.263310,5.419789E-5
1616.768217,5.572774E-5
1617.273730,6.878748E-5
1617.778317,9.207111E-5
1618.284319,0.000113
1618.791637,0.000125
1619.295674,0.000133
1619.801974,0.000140
1620.306892,0.000171
1620.810407,0.000177
1621.317637,0.000161
1621.822702,0.000161
1622.327404,0.000169
1622.832158,0.000181
1623.336932,0.000197
1623.841265,0.000203
1624.346541,0.000215
1624.851489,0.000233
1625.357271,0.000238
1625.863009,0.000249
1626.368382,0.000255
1626.872188,0.000269
1627.376223,0.000280
1627.882455,0.000298
1628.386746,0.000298
1628.891424,0.000302
1629.397502,0.000306
1629.903342,0.000314
1630.410054,0.000316
1630.915446,0.000328
1631.418818,0.000339
1631.924070,0.000348
1632.430157,0.000357
1632.937062,0.000368
1633.441748,0.000371
1633.948290,0.000379
1634.454440,0.000400
1634.960145,0.000406
1635.466351,0.000414
1635.972851,0.000422
1636.477141,0.000433
1636.981759,0.000438
1637.487621,0.000447
1637.994117,0.000453
1638.498897,0.000457
1639.004581,0.000464
1639.510109,0.000475
1640.017283,0.000481
1640.523420,0.000491
1641.031627,0.000497
1641.537030,0.000510
1642.044031,0.000519
1642.548558,0.000529
1643.053019,0.000538
1643.559575,0.000547
1644.065898,0.000554
1644.570402,0.000561
1645.075469,0.000569
1645.580838,0.000579
1646.085479,0.000595
1646.590610,0.000604
1647.094904,0.000609
1647.598492,0.000614
1648.102425,0.000629
1648.607697,0.000633
1649.113491,0.000635
1649.620506,0.000643
1650.126256,0.000657
1650.631907,0.000663
1651.137175,0.000667
1651.642919,0.000671
1652.150203,0.000689
1652.656264,0.000707
1653.163608,0.000713
1653.668827,0.000711
1654.173377,0.000721
1654.680483,0.000738
1655.185252,0.000742
1655.690825,0.000749
1656.197364,0.000755
1656.701582,0.000768
1657.207916,0.000775
1657.712905,0.000784
1658.216889,0.000789
1658.722661,0.000796
1659.228136,0.000803
1659.734095,0.000812
1660.239425,0.000813
1660.744509,0.000818
1661.251271,0.000820
1661.755247,0.000826
1662.260536,0.000831
1662.767810,0.000839
1663.272581,0.000843
1663.778090,0.000850
1664.283683,0.000857
1664.788597,0.000863
1665.294798,0.000879
1665.799074,0.000885
1666.304961,0.000895
1666.810506,0.000901
1667.316435,0.000900
1667.823496,0.000902
1668.329549,0.000909
1668.835514,0.000915
1669.340539,0.000922
1669.847816,0.000929
1670.355911,0.000933
1670.861446,0.000936
1671.365716,0.000942
1671.871960,0.000943
1672.377719,0.000950
1672.882275,0.000956
1673.388238,0.000961
1673.894253,0.000964
1674.399447,0.000970
1674.904323,0.000978
1675.410127,0.000980
1675.916082,0.000986
1676.422117,0.001000
